timestamp,samples
1767709356.312702,-4954.8896,-3532.5762
1767709356.4614751,-2201.6333
1767709356.561664,-5545.395
1767709356.662924,-4755.6943
1767709356.765044,-6063.099
1767709356.866189,-6067.32
1767709356.969795,-7048.4663
1767709357.0702589,-5993.802
1767709357.170499,-5561.3228
1767709357.271723,-4082.025
1767709357.372022,-5808.7485
1767709357.472513,-7790.218
1767709357.5730581,-9717.191
1767709357.6743731,-8743.203
1767709357.774598,-7330.7344
1767709357.875504,-7706.2637
1767709357.975648,-7348.1924
1767709358.075826,-5899.847
1767709358.177079,-2942.5156
1767709358.278473,-2253.103
1767709358.3796961,-1600.2205
1767709358.480934,-1226.5872
1767709358.5819452,713.8089
1767709358.683229,960.73706
1767709358.7844748,2125.8052
1767709358.887094,1952.6136
1767709358.988367,4655.768
1767709359.088608,8045.228
1767709359.190082,9289.318
1767709359.2914271,12489.157
1767709359.3927622,14043.412
1767709359.494007,16324.105,19887.406
1767709359.595448,22283.13
1767709359.69647,24853.525
1767709359.7971258,26095.863
1767709359.8984761,25966.627
1767709359.998776,28784.283
1767709360.099749,29881.31
1767709360.201013,30912.951
1767709360.301713,35018.867
1767709360.4029608,41390.848
1767709360.504225,41289.793
1767709360.605382,41444.57
1767709360.70676,41325.96
1767709360.808022,41290.406
1767709360.9093409,41360.285
1767709361.010701,41368.473
1767709361.111776,41317.777
1767709361.2138612,41405.723
1767709361.315279,41332.707
1767709361.41666,41414.4
1767709361.517279,41435.344
1767709361.618518,41358.11
1767709361.7194939,41374.047
1767709361.819926,41311.28
1767709361.924033,41363.973
1767709362.0252318,41405.707
1767709362.126397,41415.43
1767709362.244282,41383.99
1767709362.346236,41468.688
1767709362.449954,41358.453
1767709362.551278,41448.72
1767709362.652716,41325.457
1767709362.754048,41312.2
1767709362.8549938,41261.266
1767709362.9562619,41322.2
1767709363.057777,41320.54
1767709363.1592472,41320.46
1767709363.2877178,41326.99
1767709363.408818,41241.53,41385.676
1767709363.5100899,41296.516
1767709363.61203,41438.75
1767709363.713344,41333.62
1767709363.814603,41253.42
1767709363.91585,41250.695
1767709364.0170722,41255.05
1767709364.1184409,41326.25
1767709364.2194738,41379.758
1767709364.320736,41343.254
1767709364.42096,41218.688
1767709364.522159,41352.414
1767709364.623397,41336.535
1767709364.724702,41262.58
1767709364.825929,41357.793
1767709364.9271889,41334.246
1767709365.02854,41289.61
1767709365.1298938,41293.42
1767709365.231162,41283.246
1767709365.331532,41288.402
1767709365.432915,41329.645
1767709365.534606,41352.684
1767709365.636009,41238.832
1767709365.736544,41371.12
1767709365.837871,41283.582
1767709365.9385788,41236.43
1767709366.039219,41313.297
1767709366.1399722,41203.613
1767709366.2408562,41230.074
1767709366.367641,41220.88
1767709366.472716,41280.043
1767709366.574064,41262.266
1767709366.67577,41245.727
1767709366.776891,41286.535
1767709366.877789,41220.516
1767709366.98457,41294.375
1767709367.0852668,41279.785
1767709367.187333,41232.46
1767709367.2895129,41225.01
1767709367.390442,41207.566
1767709367.490916,41217.93
1767709367.591323,41285.312
1767709367.6921558,41183.06
1767709367.793063,41168.176
1767709367.8936682,41218.258
1767709367.994694,41251.42
1767709368.095123,41271.65,41232.043
1767709368.1958442,41256.598
1767709368.2968352,41275.207
1767709368.3972511,41132.523
1767709368.50117,41350.562
1767709368.60253,41240.305
1767709368.703779,41331.273
1767709368.804236,41176.938
1767709368.9049568,41279.504
1767709369.00541,41233.14
1767709369.1057549,41290.242
1767709369.2068129,41227.285
1767709369.30775,41208.562
1767709369.4087858,41144.805
1767709369.5097952,41217.03
1767709369.6108348,41200.383
1767709369.711429,41227.953
1767709369.815964,41120.29
1767709369.916598,41215.133
1767709370.018262,41211.78
1767709370.1189592,41176.953
1767709370.219871,41150.37
1767709370.320705,41199.605
1767709370.421576,41211.516
1767709370.521943,41214.68
1767709370.622366,41154.883
1767709370.723435,41329.61
1767709370.82393,41134.547
1767709370.924774,41190.72
1767709371.0264242,41215.79
1767709371.130676,41232.45
1767709371.23396,41240.184
1767709371.33812,41163.11
1767709371.468099,41106.64
1767709371.5725682,41198.977
1767709371.674142,41129.22
1767709371.775917,41156.133
1767709371.877556,41192.32
1767709371.979367,41091.797
1767709372.0818079,41117.59
1767709372.184344,41211.516
1767709372.286536,41089.844
1767709372.387887,41169.348
1767709372.490426,41091.62
1767709372.5943942,41192.445
1767709372.698039,41161.36,41186.145
1767709372.800456,41149.863
1767709372.9048588,41183.11
1767709373.007183,41116.105
1767709373.109743,41116.59
1767709373.2107499,41163.8
1767709373.3129878,41109.254
1767709373.413404,41153.977
1767709373.514744,41204.047
1767709373.618912,41078.36
1767709373.720185,41118.78
1767709373.8210418,41103.465
1767709373.9216042,41074.867
1767709374.022273,41175.81
1767709374.12264,41151.7
1767709374.22344,41113.76
1767709374.324029,41174.85
1767709374.4250722,41062.992
1767709374.5260859,41151.78
1767709374.626562,41077.98
1767709374.727917,41080.047
1767709374.835295,41056.9
1767709374.938375,41097.203
1767709375.041429,41067.35
1767709375.144462,41157.05
