timestamp,samples
1767538341.4832609,39001.418,39022.016
1767538341.615774,39031.168
1767538341.716022,39001.06
1767538341.816524,38983.016
1767538341.917509,38946.83
1767538342.018071,38957.3
1767538342.119702,38953.535
1767538342.221072,38939.324
1767538342.322429,38989.113
1767538342.423826,38986.25
1767538342.5250208,38942.65
1767538342.6263978,38956.594
1767538342.726805,39005.836
1767538342.827685,38927.258
1767538342.9289758,38890.36
1767538343.030336,38941.41
1767538343.131715,38940.645
1767538343.2330072,38899.305
1767538343.3337312,38922.336
1767538343.435343,38866.223
1767538343.536294,38932.39
1767538343.6376371,38910.984
1767538343.7390132,38940.31
1767538343.841912,39064.69
1767538343.942187,38851.01
1767538344.043262,38920.6
1767538344.144609,38934.6
1767538344.245892,38883.496
1767538344.347154,38907.72
1767538344.448446,38900.902
1767538344.549679,38867.734
1767538344.6510231,38935.63
1767538344.7522612,38982.695
1767538344.8534908,38909.66
1767538344.954731,38886.27
1767538345.056101,38897.79
1767538345.158952,38944.99
1767538345.260318,38941.09,38792.45
1767538345.361669,38901.605
1767538345.4629939,38897.562
1767538345.564296,38812.98
1767538345.664722,38864.152
1767538345.765928,38897.875
1767538345.867178,38808.633
1767538345.968408,38910.42
1767538346.069715,38868.45
1767538346.171103,38841.83
1767538346.272535,38810.09
1767538346.374155,38855.54
1767538346.4755268,38829.688
1767538346.5760949,38840.797
1767538346.676887,38955.836
1767538346.777052,38823.938
1767538346.8782668,38732.707
1767538346.978793,38714.316
1767538347.079783,38853.453
1767538347.181123,38832.445
1767538347.28235,38724.504
1767538347.383669,38825.043
1767538347.484034,38744.992
1767538347.5853372,38814.87
1767538347.6860778,38790.62
1767538347.787524,38838.99
1767538347.888903,38782.92
1767538347.990307,38765.746
1767538348.091325,38805.95
1767538348.19254,38687.715
1767538348.293796,38782.176
1767538348.395154,38841.31
1767538348.496465,38751.39
1767538348.596968,38767.195
1767538348.697443,38815.746
1767538348.7979362,38734.16
1767538348.8992782,38771.27
1767538349.00064,38705.707
1767538349.10099,38696.785
1767538349.202282,38743.953
1767538349.303585,38771.766
1767538349.404394,38778.57
1767538349.505878,38688.977
1767538349.6071649,38786.32
1767538349.707513,38661.195
1767538349.808883,38681.637
1767538349.910253,38720.53
1767538350.011595,38626.152
1767538350.112946,38681.6
1767538350.214277,38636.29
1767538350.315401,38663.25
1767538350.416667,38692.383
1767538350.518102,38592.7
1767538350.6193979,38677.484
1767538350.7208781,38658.395
1767538350.822276,38627.418
1767538350.923719,38675.953
1767538351.024193,38725.344
1767538351.125556,38607.07
